date,sector,MtCO2 per day
01/01/2022,Power,3.55
02/01/2022,Power,3.42
03/01/2022,Power,3.63
04/01/2022,Power,3.78
05/01/2022,Power,3.76
06/01/2022,Power,3.68
07/01/2022,Power,3.69
08/01/2022,Power,3.51
09/01/2022,Power,3.37
10/01/2022,Power,3.49
11/01/2022,Power,3.5
12/01/2022,Power,3.54
13/01/2022,Power,3.54
14/01/2022,Power,3.4
15/01/2022,Power,3.36
16/01/2022,Power,3.32
17/01/2022,Power,3.56
18/01/2022,Power,3.7
19/01/2022,Power,3.78
20/01/2022,Power,3.78
21/01/2022,Power,3.8
22/01/2022,Power,3.58
23/01/2022,Power,3.51
24/01/2022,Power,3.77
25/01/2022,Power,3.81
26/01/2022,Power,3.65
27/01/2022,Power,3.71
28/01/2022,Power,3.77
29/01/2022,Power,3.79
30/01/2022,Power,3.74
31/01/2022,Power,3.86
01/02/2022,Power,3.87
02/02/2022,Power,3.9
03/02/2022,Power,3.77
04/02/2022,Power,3.85
05/02/2022,Power,3.89
06/02/2022,Power,3.76
07/02/2022,Power,3.93
08/02/2022,Power,3.99
09/02/2022,Power,3.9
10/02/2022,Power,3.85
11/02/2022,Power,3.84
12/02/2022,Power,3.86
13/02/2022,Power,3.76
14/02/2022,Power,3.85
15/02/2022,Power,3.92
16/02/2022,Power,3.98
17/02/2022,Power,3.94
18/02/2022,Power,3.91
19/02/2022,Power,3.87
20/02/2022,Power,3.75
21/02/2022,Power,3.87
22/02/2022,Power,3.88
23/02/2022,Power,3.91
24/02/2022,Power,3.98
25/02/2022,Power,3.97
26/02/2022,Power,3.87
27/02/2022,Power,3.7
28/02/2022,Power,3.89
01/03/2022,Power,3.94
02/03/2022,Power,3.87
03/03/2022,Power,3.87
04/03/2022,Power,3.93
05/03/2022,Power,3.98
06/03/2022,Power,3.91
07/03/2022,Power,3.94
08/03/2022,Power,3.98
09/03/2022,Power,4.01
10/03/2022,Power,4.07
11/03/2022,Power,4.11
12/03/2022,Power,4.1
13/03/2022,Power,4.0
14/03/2022,Power,4.13
15/03/2022,Power,4.15
16/03/2022,Power,4.16
17/03/2022,Power,4.18
18/03/2022,Power,3.84
19/03/2022,Power,3.86
20/03/2022,Power,3.93
21/03/2022,Power,4.11
22/03/2022,Power,4.15
23/03/2022,Power,4.2
24/03/2022,Power,4.24
25/03/2022,Power,4.26
26/03/2022,Power,4.23
27/03/2022,Power,4.15
28/03/2022,Power,4.25
29/03/2022,Power,4.27
30/03/2022,Power,4.33
31/03/2022,Power,4.34
01/04/2022,Power,4.35
02/04/2022,Power,4.31
03/04/2022,Power,4.15
04/04/2022,Power,4.3
05/04/2022,Power,4.33
06/04/2022,Power,4.29
07/04/2022,Power,4.32
08/04/2022,Power,4.34
09/04/2022,Power,4.33
10/04/2022,Power,4.18
11/04/2022,Power,4.26
12/04/2022,Power,4.26
13/04/2022,Power,4.31
14/04/2022,Power,4.29
15/04/2022,Power,4.25
16/04/2022,Power,4.35
17/04/2022,Power,4.17
18/04/2022,Power,4.31
19/04/2022,Power,4.36
20/04/2022,Power,4.34
21/04/2022,Power,4.37
22/04/2022,Power,4.36
23/04/2022,Power,4.4
24/04/2022,Power,4.25
25/04/2022,Power,4.4
26/04/2022,Power,4.42
27/04/2022,Power,4.44
28/04/2022,Power,4.41
29/04/2022,Power,4.38
30/04/2022,Power,4.31
01/05/2022,Power,4.1
02/05/2022,Power,4.23
03/05/2022,Power,4.21
04/05/2022,Power,4.27
05/05/2022,Power,4.18
06/05/2022,Power,4.33
07/05/2022,Power,4.35
08/05/2022,Power,4.18
09/05/2022,Power,4.23
10/05/2022,Power,4.18
11/05/2022,Power,4.19
12/05/2022,Power,4.11
13/05/2022,Power,4.07
14/05/2022,Power,4.05
15/05/2022,Power,3.94
16/05/2022,Power,4.07
17/05/2022,Power,4.18
18/05/2022,Power,4.29
19/05/2022,Power,4.27
20/05/2022,Power,4.08
21/05/2022,Power,3.65
22/05/2022,Power,3.34
23/05/2022,Power,3.31
24/05/2022,Power,3.61
25/05/2022,Power,3.96
26/05/2022,Power,3.99
27/05/2022,Power,3.91
28/05/2022,Power,3.89
29/05/2022,Power,3.78
30/05/2022,Power,4.06
31/05/2022,Power,4.17
01/06/2022,Power,4.15
02/06/2022,Power,4.22
03/06/2022,Power,4.2
04/06/2022,Power,4.24
05/06/2022,Power,4.09
06/06/2022,Power,4.23
07/06/2022,Power,4.23
08/06/2022,Power,4.17
09/06/2022,Power,4.13
10/06/2022,Power,4.22
11/06/2022,Power,4.17
12/06/2022,Power,4.06
13/06/2022,Power,4.32
14/06/2022,Power,4.4
15/06/2022,Power,4.26
16/06/2022,Power,4.12
17/06/2022,Power,4.02
