DateTime,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Traffic_Numerical
2015-10-10 00:00:00,31,0,4,4,39,low,1
2015-10-10 00:15:00,49,0,3,3,55,low,1
2015-10-10 00:30:00,46,0,3,6,55,low,1
2015-10-10 00:45:00,51,0,2,5,58,low,1
2015-10-10 01:00:00,57,6,15,16,94,normal,2
2015-10-10 01:15:00,44,0,5,4,53,low,1
2015-10-10 01:30:00,37,0,1,4,42,low,1
2015-10-10 01:45:00,42,4,4,5,55,low,1
2015-10-10 02:00:00,51,0,9,7,67,low,1
2015-10-10 02:15:00,34,0,4,7,45,low,1
2015-10-10 02:30:00,45,0,1,1,47,low,1
2015-10-10 02:45:00,45,0,1,3,49,low,1
2015-10-10 03:00:00,50,0,3,0,53,low,1
2015-10-10 03:15:00,34,0,4,4,42,low,1
2015-10-10 03:30:00,129,22,42,1,194,heavy,4
2015-10-10 03:45:00,144,16,49,0,209,heavy,4
2015-10-10 04:00:00,111,28,20,3,162,normal,2
2015-10-10 04:15:00,67,11,10,16,104,normal,2
2015-10-10 04:30:00,65,24,7,16,112,normal,2
2015-10-10 04:45:00,94,27,7,16,144,normal,2
2015-10-10 05:00:00,94,20,8,7,129,normal,2
2015-10-10 05:15:00,67,29,5,10,111,low,1
2015-10-10 05:30:00,56,12,2,14,84,normal,2
2015-10-10 05:45:00,57,13,3,11,84,low,1
2015-10-10 06:00:00,129,22,42,1,194,heavy,4
2015-10-10 06:15:00,144,16,49,0,209,heavy,4
2015-10-10 06:30:00,111,28,20,3,162,normal,2
2015-10-10 06:45:00,120,27,46,3,196,heavy,4
2015-10-10 07:00:00,102,39,47,1,189,heavy,4
2015-10-10 07:15:00,145,23,27,0,195,heavy,4
2015-10-10 07:30:00,114,37,21,5,177,heavy,4
2015-10-10 07:45:00,108,18,22,1,149,normal,2
2015-10-10 08:00:00,122,28,33,1,184,heavy,4
2015-10-10 08:15:00,114,39,30,3,186,heavy,4
2015-10-10 08:30:00,150,36,25,1,212,heavy,4
2015-10-10 08:45:00,107,10,49,2,168,heavy,4
2015-10-10 09:00:00,124,24,22,0,170,heavy,4
2015-10-10 09:15:00,77,16,39,29,161,high,3
2015-10-10 09:30:00,15,23,30,21,89,normal,2
2015-10-10 09:45:00,32,22,38,21,113,high,3
2015-10-10 10:00:00,68,13,29,24,134,high,3
2015-10-10 10:15:00,27,16,36,30,109,normal,2
2015-10-10 10:30:00,76,7,11,15,109,normal,2
2015-10-10 10:45:00,41,23,20,17,101,normal,2
2015-10-10 11:00:00,33,10,3,29,75,normal,2
2015-10-10 11:15:00,58,8,14,29,109,normal,2
2015-10-10 11:30:00,65,7,11,26,109,normal,2
2015-10-10 11:45:00,47,9,6,29,91,normal,2
2015-10-10 12:00:00,38,10,5,25,78,normal,2
2015-10-10 12:15:00,57,8,12,29,106,normal,2
2015-10-10 12:30:00,20,6,4,20,50,normal,2
2015-10-10 12:45:00,24,9,14,23,70,normal,2
2015-10-10 13:00:00,52,10,13,21,96,normal,2
2015-10-10 13:15:00,79,15,36,18,148,high,3
2015-10-10 13:30:00,84,24,22,18,148,normal,2
2015-10-10 13:45:00,59,19,35,16,129,high,3
2015-10-10 14:00:00,88,26,31,19,164,high,3
2015-10-10 14:15:00,24,11,32,13,80,normal,2
2015-10-10 14:30:00,110,17,23,20,170,heavy,4
2015-10-10 14:45:00,29,26,5,6,66,low,1
2015-10-10 15:00:00,43,26,11,20,100,normal,2
2015-10-10 15:15:00,68,28,9,15,120,normal,2
2015-10-10 15:30:00,108,16,8,18,150,normal,2
2015-10-10 15:45:00,101,26,8,14,149,normal,2
2015-10-10 16:00:00,141,31,36,6,214,heavy,4
2015-10-10 16:15:00,120,25,28,5,178,heavy,4
2015-10-10 16:30:00,137,23,44,5,209,heavy,4
2015-10-10 16:45:00,124,11,30,7,172,heavy,4
2015-10-10 17:00:00,145,25,49,7,226,heavy,4
2015-10-10 17:15:00,122,37,23,8,190,heavy,4
2015-10-10 17:30:00,136,30,20,9,195,heavy,4
2015-10-10 17:45:00,145,18,40,9,212,heavy,4
2015-10-10 18:00:00,138,34,28,5,205,heavy,4
2015-10-10 18:15:00,123,10,29,8,170,heavy,4
2015-10-10 18:30:00,105,15,21,9,150,normal,2
2015-10-10 18:45:00,75,22,20,11,128,normal,2
2015-10-10 19:00:00,90,12,10,13,125,normal,2
2015-10-10 19:15:00,102,22,20,16,160,normal,2
2015-10-10 19:30:00,61,18,15,27,121,high,3
2015-10-10 19:45:00,70,8,14,6,98,low,1
2015-10-10 20:00:00,80,17,12,34,143,high,3
2015-10-10 20:15:00,62,12,14,19,107,normal,2
2015-10-10 20:30:00,96,5,11,13,125,normal,2
2015-10-10 20:45:00,102,6,12,13,133,normal,2
2015-10-10 21:00:00,91,14,15,6,126,normal,2
2015-10-10 21:15:00,95,8,17,13,133,normal,2
2015-10-10 21:30:00,75,15,12,21,123,high,3
2015-10-10 21:45:00,53,21,20,10,104,normal,2
2015-10-10 22:00:00,13,1,0,19,33,normal,2
2015-10-10 22:15:00,10,0,1,24,35,normal,2
2015-10-10 22:30:00,16,2,0,33,51,normal,2
2015-10-10 22:45:00,11,1,0,29,41,normal,2
2015-10-10 23:00:00,18,2,1,13,34,normal,2
2015-10-10 23:15:00,15,0,1,11,27,low,1
2015-10-10 23:30:00,14,1,0,33,48,normal,2
2015-10-10 23:45:00,17,2,0,22,41,normal,2
2015-10-11 00:00:00,12,2,1,17,32,normal,2
2015-10-11 00:15:00,18,0,0,29,47,normal,2
2015-10-11 00:30:00,16,1,0,14,31,normal,2
2015-10-11 00:45:00,20,0,0,14,34,normal,2
