country_name,Date,value
China,1960,780726.302
China,1961,552066.85
China,1962,440359.029
China,1963,436695.696
China,1964,436923.05
China,1965,475972.933
China,1966,522789.522
China,1967,433234.048
China,1968,468928.626
China,1969,577237.138
China,1970,771617.474
China,1971,876633.02
China,1972,931575.681
China,1973,968542.708
China,1974,988014.478
China,1975,1145607.47
China,1976,1196193.74
China,1977,1310310.78
China,1978,1462168.58
China,1979,1494859.88
China,1980,1467192.37
China,1981,1451501.28
China,1982,1580260.65
China,1983,1667029.2
China,1984,1814908.31
China,1985,1966553.43
China,1986,2068969.07
China,1987,2209708.53
China,1988,2369501.72
China,1989,2408540.61
China,1990,2173360
China,1991,2302180
China,1992,2418180
China,1993,2645410
China,1994,2767670
China,1995,3088620
China,1996,3070510
China,1997,3134110
China,1998,3236280
China,1999,3153660
China,2000,3346530
China,2001,3529080
China,2002,3810060.06
China,2003,4415910.16
China,2004,5124819.82
China,2005,5824629.88
China,2006,6437470.21
China,2007,6993180.18
China,2008,7199600.1
China,2009,7719069.82
China,2010,8474919.92
China,2011,9282549.8
China,2012,9541870.12
China,2013,9984570.31
China,2014,10006669.9
China,2015,9861099.61
China,2016,9874660.16
China,2017,10096009.8
China,2018,10502929.7
China,2019,10707219.7
